Reference, Value, Footprint, Datasheet, 2nd Source Part Number, 1st Source, 2nd Source, Manufacturer Part Number, 1st Source Part Number, Manufacturer
"U1","MCP2551_SOIC8","usevolt:SOIC8","http://www.microchip.com/mymicrochip/filehandler.aspx?ddocname=en011797","9758569","Digi-Key","Farnell","MCP2551-I/SN","MCP2551-I/SN-ND","MICROCHIP",""
"C1","100nF","kemet:Kemet-CAPC1608X85N","http://www.farnell.com/datasheets/2062872.pdf?_ga=1.250530118.1948984246.1460023966","","Farnell","","C0603C104K5RACTU","1288255","KEMET",""
"C2","100nF","kemet:Kemet-CAPC1608X85N","http://www.farnell.com/datasheets/2062872.pdf?_ga=1.250530118.1948984246.1460023966","","Farnell","","C0603C104K5RACTU","1288255","KEMET",""
"C7","100nF","kemet:Kemet-CAPC1608X85N","http://www.farnell.com/datasheets/2062872.pdf?_ga=1.250530118.1948984246.1460023966","","Farnell","","C0603C104K5RACTU","1288255","KEMET",""
"C6","100nF","kemet:Kemet-CAPC1608X85N","http://www.farnell.com/datasheets/2062872.pdf?_ga=1.250530118.1948984246.1460023966","","Farnell","","C0603C104K5RACTU","1288255","KEMET",""
"C5","100nF","kemet:Kemet-CAPC1608X85N","http://www.farnell.com/datasheets/2062872.pdf?_ga=1.250530118.1948984246.1460023966","","Farnell","","C0603C104K5RACTU","1288255","KEMET",""
"C4","100nF","kemet:Kemet-CAPC1608X85N","http://www.farnell.com/datasheets/2062872.pdf?_ga=1.250530118.1948984246.1460023966","","Farnell","","C0603C104K5RACTU","1288255","KEMET",""
"C3","100nF","kemet:Kemet-CAPC1608X85N","http://www.farnell.com/datasheets/2062872.pdf?_ga=1.250530118.1948984246.1460023966","","Farnell","","C0603C104K5RACTU","1288255","KEMET",""
"U3","WINDBOND_W25Q32FV_SOIC8_W","usevolt:SOIC8_W","http://www.winbond.com/resource-files/w25q32fv%20revi%2010202015.pdf","","Digi-Key","","W25Q32FVSSIG","W25Q32FVSSIG-ND","Winbond Electronics",""
"C8","100nF","kemet:Kemet-CAPC1608X85N","http://www.farnell.com/datasheets/2062872.pdf?_ga=1.250530118.1948984246.1460023966","","Farnell","","C0603C104K5RACTU","1288255","KEMET",""
"U2","ALLIANCE_AS4C4M16SA_TSOP_II","usevolt:TSOP_II_54_PIN","http://www.alliancememory.com/pdf/dram/64M-AS4C4M16SA-Automotive_v3.0_March%202015.pdf","","Digi-Key","","AS4C4M16SA-6TAN","1450-1258-ND","Alliance Memory, Inc.",""
"J4","HEADER_MOLEX_52207-0433","usevolt:HEADER_MOLEX_52207-0433","http://www.farnell.com/datasheets/1752208.pdf?_ga=1.260476365.1948984246.1460023966","","Farnell","","52207-0433","2361288","MOLEX",""
"C32","100nF","kemet:Kemet-CAPC1608X85N","http://www.farnell.com/datasheets/2062872.pdf?_ga=1.250530118.1948984246.1460023966","","Farnell","","C0603C104K5RACTU","1288255","KEMET",""
"R1","10K","multicomp:Multicomp-RESC1608X60N","http://www.farnell.com/datasheets/1788326.pdf?_ga=1.214208087.1948984246.1460023966","","Farnell","","MC0063W0603110K","9330399","MULTICOMP",""
"J5","HEADER_MOLEX_54104-4031","usevolt:HEADER_MOLEX_54104-4031","http://www.farnell.com/datasheets/1875244.pdf?_ga=1.223199835.1948984246.1460023966","","Farnell","","54104-4031","1757126","MOLEX",""
"BT1","BATTERY_HOLDER_CH7410-2032LFSMD","usevolt:usevolt-BATTERY_HOLDER_CH7410-2032LF","http://www.farnell.com/datasheets/1505862.pdf?_ga=1.251637318.1948984246.1460023966","","Farnell","","2064724","CH7410-2032LF","MULTICOMP",""
"C22","12pF","kemet:Kemet-CAPC1608X85N","http://www.farnell.com/datasheets/2063259.pdf?_ga=1.217443926.1948984246.1460023966","","Farnell","","C0603C120J5GACTU","1414612","KEMET",""
"C29","12pF","kemet:Kemet-CAPC1608X85N","http://www.farnell.com/datasheets/2063259.pdf?_ga=1.217443926.1948984246.1460023966","","Farnell","","C0603C120J5GACTU","1414612","KEMET",""
"X2","XTAL_ABS25-32.768KHZ-T","usevolt:XTAL_32.768KHZ-T","http://www.abracon.com/Resonators/abs25.pdf","1611824","Digi-Key","Farnell","ABS25-32.768KHZ-T","535-9166-1-ND","Abracon LLC",""
"X3","BUZZER_PKM13EPYH4002-B0","usevolt:BUZZER_PKM13EPYH4002-B0","http://www.farnell.com/datasheets/579045.pdf?_ga=1.252101961.1948984246.1460023966","490-4697-ND","Farnell","Digikey","PKM13EPYH4002-B0","1823866","MURATA",""
"U6","MOSFET-N_2N7002W","usevolt:SOT323","http://www.onsemi.com/pub_link/Collateral/2N7002W-D.PDF","2533171","Digikey","Farnell","2N7002WT1G","2N7002WT1GOSCT-ND","ON Semiconductor",""
"J1","AMPSEAL_8_POS_776275-1","usevolt:AMPSEAL_8_POS_776275-1","http://www.mouser.com/ds/2/418/NG_CD_776275_B7-692111.pdf","571-1-776275-1 ","Mouser","Mouser","776275-1","571-776275-1 ","TE Connectivity",""
"F1","FUSE_MC36211_350MA","usevolt:FUSE_MC36211","http://www.farnell.com/datasheets/1678471.pdf?_ga=1.218604761.1948984246.1460023966","","Farnell","","MC36211","MC36211","Multicomp",""
"D1","DIODE_TVS_SMBJ33A-TRDO-214AA","usevolt:DO-214AA","http://www.littelfuse.com/~/media/electronics/datasheets/tvs_diodes/littelfuse_tvs_diode_smbj_datasheet.pdf.pdf","","Digi-Key","","SMBJ33A","SMBJ33ALFCT-ND","Littlefuse",""
"C9","100nF","kemet:Kemet-CAPC1608X85N","http://www.farnell.com/datasheets/2062872.pdf?_ga=1.250530118.1948984246.1460023966","","Farnell","","C0603C104K5RACTU","1288255","KEMET",""
"C10","CAP_EEE-FK1H470P","usevolt:CAP_EEE-FK1H470P","http://industrial.panasonic.com/www-cgi/jvcr13pz.cgi?E+PZ+3+ABA0120+EEEFK1H470P+7+WW","667-EEE-FK1H470P","Digi-Key","Mouser","EEE-FK1H470P","PCE3815CT-ND","Panasonic Electronic Components",""
"VR1","LM2671SOIC8","usevolt:SOIC8","http://www.farnell.com/datasheets/1902681.pdf?_ga=1.246738500.1948984246.1460023966","926-LM2671M-5.0/NOPB","Farnell","Mouser","LM2671M-5.0/NOPB","1469200","TEXAS INSTRUMENTS",""
"C11","10nF","kemet:Kemet-CAPC1608X85N","http://www.farnell.com/datasheets/2064086.pdf?_ga=1.250530118.1948984246.1460023966","","Farnell","","C0603C103J3GACTU","1457729","KEMET",""
"D2","DIODE_RS07J-GS18","usevolt:DO219AB","http://www.vishay.com/docs/85742/rs07b.pdf","1864882","Digi-Key","Farnell","RS07J-GS18","RS07J-GS18-ND","Vishay Semiconductor Diodes Division",""
"L1","INDUCTOR_SDR1005-101KL","usevolt:INDUCTOR_BOURNS_10X13X5MM","http://www.farnell.com/datasheets/1695384.pdf?_ga=1.223340891.1948984246.1460023966","SDR1005-101KLCT-ND","Farnell","Digi-Key","SDR1005-101KL","1828057","BOURNS",""
"C12","CAP_EEE-FK1H470P","usevolt:CAP_EEE-FK1H470P","http://industrial.panasonic.com/www-cgi/jvcr13pz.cgi?E+PZ+3+ABA0120+EEEFK1H470P+7+WW","667-EEE-FK1H470P","Digi-Key","Mouser","EEE-FK1H470P","PCE3815CT-ND","Panasonic Electronic Components",""
"VR2","REG_MCP1700","usevolt:SOT-23_3-PIN","http://www.farnell.com/datasheets/1784514.pdf?_ga=1.221693144.1948984246.1460023966","MCP1700T3302ETTCT-ND","Farnell","Digi-Key","MCP1700T-3302E/TT","1296592","MICROCHIP",""
"C13","100nF","kemet:Kemet-CAPC1608X85N","http://www.farnell.com/datasheets/2062872.pdf?_ga=1.250530118.1948984246.1460023966","","Farnell","","C0603C104K5RACTU","1288255","KEMET",""
"R4","470","multicomp:Multicomp-RESC1608X60N","","","Farnell","","MC0063W06031470R","9331239","MULTICOMP",""
"D3","WL-SMCW-150060BS75000-B","wurth_LEDS:Wuerth_Elektronik_LEDs_rev15b-0603","http://www.farnell.com/datasheets/1911343.pdf?_ga=1.259491274.1948984246.1460023966","","Farnell","","150060BS75000","2322069","WURTH ELEKTRONIK",""
"R2","10K","multicomp:Multicomp-RESC1608X60N","http://www.farnell.com/datasheets/1788326.pdf?_ga=1.214208087.1948984246.1460023966","","Farnell","","MC0063W0603110K","9330399","MULTICOMP",""
"R3","1K","multicomp:Multicomp-RESC1608X60N","","","Farnell","","MC0063W060311K","9330380","MULTICOMP",""
"U4","LPC1785FBD208_551QFP50","usevolt:QFP208","http://www.nxp.com/documents/data_sheet/LPC178X_7X.pdf","","Digi-Key","","LPC1785FBD208,551","568-7573-ND","NXP",""
"C21","100nF","kemet:Kemet-CAPC1608X85N","http://www.farnell.com/datasheets/2062872.pdf?_ga=1.250530118.1948984246.1460023966","","Farnell","","C0603C104K5RACTU","1288255","KEMET",""
"C20","100nF","kemet:Kemet-CAPC1608X85N","http://www.farnell.com/datasheets/2062872.pdf?_ga=1.250530118.1948984246.1460023966","","Farnell","","C0603C104K5RACTU","1288255","KEMET",""
"C18","100nF","kemet:Kemet-CAPC1608X85N","http://www.farnell.com/datasheets/2062872.pdf?_ga=1.250530118.1948984246.1460023966","","Farnell","","C0603C104K5RACTU","1288255","KEMET",""
"C16","100nF","kemet:Kemet-CAPC1608X85N","http://www.farnell.com/datasheets/2062872.pdf?_ga=1.250530118.1948984246.1460023966","","Farnell","","C0603C104K5RACTU","1288255","KEMET",""
"J2","ARM_JTAG_SWD_HEADER_10_PINSMD","usevolt:usevolt-ARM_10_PIN_JTAG_SWD_CONNECTOR","",""
"R5","10K","multicomp:Multicomp-RESC1608X60N","http://www.farnell.com/datasheets/1788326.pdf?_ga=1.214208087.1948984246.1460023966","","Farnell","","MC0063W0603110K","9330399","MULTICOMP",""
"R6","10K","multicomp:Multicomp-RESC1608X60N","http://www.farnell.com/datasheets/1788326.pdf?_ga=1.214208087.1948984246.1460023966","","Farnell","","MC0063W0603110K","9330399","MULTICOMP",""
"R7","10K","multicomp:Multicomp-RESC1608X60N","http://www.farnell.com/datasheets/1788326.pdf?_ga=1.214208087.1948984246.1460023966","","Farnell","","MC0063W0603110K","9330399","MULTICOMP",""
"R8","470","multicomp:Multicomp-RESC1608X60N","","","Farnell","","MC0063W06031470R","9331239","MULTICOMP",""
"D4","WL-SMCW-150060BS75000-B","wurth_LEDS:Wuerth_Elektronik_LEDs_rev15b-0603","http://www.farnell.com/datasheets/1911343.pdf?_ga=1.259491274.1948984246.1460023966","","Farnell","","150060BS75000","2322069","WURTH ELEKTRONIK",""
"C24","100nF","kemet:Kemet-CAPC1608X85N","http://www.farnell.com/datasheets/2062872.pdf?_ga=1.250530118.1948984246.1460023966","","Farnell","","C0603C104K5RACTU","1288255","KEMET",""
"C26","100nF","kemet:Kemet-CAPC1608X85N","http://www.farnell.com/datasheets/2062872.pdf?_ga=1.250530118.1948984246.1460023966","","Farnell","","C0603C104K5RACTU","1288255","KEMET",""
"C28","100nF","kemet:Kemet-CAPC1608X85N","http://www.farnell.com/datasheets/2062872.pdf?_ga=1.250530118.1948984246.1460023966","","Farnell","","C0603C104K5RACTU","1288255","KEMET",""
"C19","100nF","kemet:Kemet-CAPC1608X85N","http://www.farnell.com/datasheets/2062872.pdf?_ga=1.250530118.1948984246.1460023966","","Farnell","","C0603C104K5RACTU","1288255","KEMET",""
"C17","100nF","kemet:Kemet-CAPC1608X85N","http://www.farnell.com/datasheets/2062872.pdf?_ga=1.250530118.1948984246.1460023966","","Farnell","","C0603C104K5RACTU","1288255","KEMET",""
"C15","100nF","kemet:Kemet-CAPC1608X85N","http://www.farnell.com/datasheets/2062872.pdf?_ga=1.250530118.1948984246.1460023966","","Farnell","","C0603C104K5RACTU","1288255","KEMET",""
"C14","100nF","kemet:Kemet-CAPC1608X85N","http://www.farnell.com/datasheets/2062872.pdf?_ga=1.250530118.1948984246.1460023966","","Farnell","","C0603C104K5RACTU","1288255","KEMET",""
"C27","100nF","kemet:Kemet-CAPC1608X85N","http://www.farnell.com/datasheets/2062872.pdf?_ga=1.250530118.1948984246.1460023966","","Farnell","","C0603C104K5RACTU","1288255","KEMET",""
"C25","100nF","kemet:Kemet-CAPC1608X85N","http://www.farnell.com/datasheets/2062872.pdf?_ga=1.250530118.1948984246.1460023966","","Farnell","","C0603C104K5RACTU","1288255","KEMET",""
"C23","100nF","kemet:Kemet-CAPC1608X85N","http://www.farnell.com/datasheets/2062872.pdf?_ga=1.250530118.1948984246.1460023966","","Farnell","","C0603C104K5RACTU","1288255","KEMET",""
"X1","XTAL_7A-20.000MAAJ-T","usevolt:XTAL_7A-20.000MAJ","http://www.farnell.com/datasheets/1041607.pdf?_ga=1.225290842.1948984246.1460023966","","Farnell","","7A-20.000MAAJ-T","1841950","TXC",""
"C30","18pF","kemet:Kemet-CAPC1608X85N","http://www.farnell.com/datasheets/2111569.pdf?_ga=1.260538573.1948984246.1460023966","","Farnell","","C0603C180J2GACTU","1865514","KEMET",""
"C31","18pF","kemet:Kemet-CAPC1608X85N","http://www.farnell.com/datasheets/2111569.pdf?_ga=1.260538573.1948984246.1460023966","","Farnell","","C0603C180J2GACTU","1865514","KEMET",""
"J3","HEADER_USART_2_SMD","usevolt:HEADER_4_2_SMD","",""
